date,month,day,weekday,visitor_count,weather,temperature
2025-04-13,4月,13,日,124339,,18.3
2025-04-14,4月,14,月,53660,,18.8
2025-04-15,4月,15,火,47781,,14.4
2025-04-16,4月,16,水,58703,,18.1
2025-04-17,4月,17,木,67652,,24.3
2025-04-18,4月,18,金,78721,,24.5
2025-04-19,4月,19,土,94081,,28.1
2025-04-20,4月,20,日,79382,,23.0
2025-04-21,4月,21,月,82286,,24.6
2025-04-22,4月,22,火,86630,,25.8
2025-04-23,4月,23,水,81345,,22.4
2025-04-24,4月,24,木,91512,,23.7
2025-04-25,4月,25,金,93168,,22.2
2025-04-26,4月,26,土,104803,,20.6
2025-04-27,4月,27,日,85030,,25.2
2025-04-28,4月,28,月,103817,,22.4
2025-04-29,4月,29,火,79746,,20.1
2025-04-30,4月,30,水,83776,,23.5
2025-05-01,5月,1,木,88397,,25.3
2025-05-02,5月,2,金,87064,,21.3
2025-05-03,5月,3,土,102810,,23.3
2025-05-04,5月,4,日,120516,,21.8
2025-05-05,5月,5,月,109567,,25.1
2025-05-06,5月,6,火,59582,,18.8
2025-05-07,5月,7,水,74756,,21.9
2025-05-08,5月,8,木,86871,,26.3
2025-05-09,5月,9,金,85969,,23.0
2025-05-10,5月,10,土,107545,,23.3
2025-05-11,5月,11,日,103399,,22.5
2025-05-12,5月,12,月,99802,,20.9
2025-05-13,5月,13,火,105553,,26.3
2025-05-14,5月,14,水,111859,,27.2
2025-05-15,5月,15,木,111694,,26.2
2025-05-16,5月,16,金,115117,,25.4
2025-05-17,5月,17,土,107510,,26.6
2025-05-18,5月,18,日,105523,,27.7
2025-05-19,5月,19,月,116220,,25.1
2025-05-20,5月,20,火,111650,,28.7
2025-05-21,5月,21,水,114569,,29.5
2025-05-22,5月,22,木,119741,,30.4
2025-05-23,5月,23,金,145245,,27.3
2025-05-24,5月,24,土,115732,,22.0
2025-05-25,5月,25,日,127006,,20.5
2025-05-26,5月,26,月,131023,,20.2
2025-05-27,5月,27,火,120915,,25.7
2025-05-28,5月,28,水,130531,,28.1
2025-05-29,5月,29,木,126713,,23.8
2025-05-30,5月,30,金,134067,,26.0
2025-05-31,5月,31,土,169923,,22.6
2025-06-01,6月,1,日,133503,,26.1
2025-06-02,6月,2,月,132351,,28.1
2025-06-03,6月,3,火,90707,,20.4
2025-06-04,6月,4,水,119710,,26.1
2025-06-05,6月,5,木,121530,,28.7
2025-06-06,6月,6,金,146149,,28.1
2025-06-07,6月,7,土,155497,,26.7
2025-06-08,6月,8,日,132525,,26.1
2025-06-09,6月,9,月,119566,,25.0
2025-06-10,6月,10,火,92043,,24.5
2025-06-11,6月,11,水,108345,,24.4
2025-06-12,6月,12,木,122805,,27.7
2025-06-13,6月,13,金,148857,,30.7
2025-06-14,6月,14,土,135471,,25.6
2025-06-15,6月,15,日,136761,,29.1
2025-06-16,6月,16,月,124405,,33.6
2025-06-17,6月,17,火,114920,,33.4
2025-06-18,6月,18,水,119079,,34.1
2025-06-19,6月,19,木,119112,,33.7
2025-06-20,6月,20,金,144554,,34.0
2025-06-21,6月,21,土,160970,,31.8
2025-06-22,6月,22,日,133353,,34.2
2025-06-23,6月,23,月,110094,,30.0
2025-06-24,6月,24,火,108370,,29.1
2025-06-25,6月,25,水,117601,,33.0
2025-06-26,6月,26,木,113502,,28.5
2025-06-27,6月,27,金,137705,,31.5
2025-06-28,6月,28,土,184990,,33.5
2025-06-29,6月,29,日,133938,,33.6
2025-06-30,6月,30,月,105883,,34.4
2025-07-01,7月,1,火,90629,,35.3
2025-07-02,7月,2,水,96020,,35.4
2025-07-03,7月,3,木,105256,,34.8
2025-07-04,7月,4,金,123772,,34.3
2025-07-05,7月,5,土,134004,,34.5
2025-07-06,7月,6,日,111544,,34.9
2025-07-07,7月,7,月,93459,,37.6
2025-07-08,7月,8,火,95005,,34.1
2025-07-09,7月,9,水,98778,,35.9
2025-07-10,7月,10,木,100775,,36.6
2025-07-11,7月,11,金,125346,,36.5
2025-07-12,7月,12,土,171509,,34.7
2025-07-13,7月,13,日,160802,,35.6
2025-07-14,7月,14,月,95730,,34.2
